,script_id,words,words_male,words_female,f_percentage,imdb_id,title,year,gross,lines_data,averageRating,numVotes
153,1094,10784,7482,3302,0.30619436201780414,tt1038686,Legion,2010,44.0,7.763354535677762e+84,5.2,97759
154,1097,4842,3812,1030,0.2127220156959934,tt0097737,Leviathan,1989,34.0,5.665677745644331e+85,5.8,18224
155,1100,6212,3030,3182,0.5122343850611719,tt0289992,The Life of David Gale,2003,28.0,4.0033344234664607e+92,7.6,107588
156,1107,8269,5501,2768,0.3347442254202443,tt0417907,Little Athens,2005,,1.2777603777670004e+162,5.5,926
157,1111,6067,3657,2410,0.39723092137794624,tt0116908,The Long Kiss Goodnight,1996,65.0,7.26747336777777e+69,6.8,71475
158,1114,4033,3888,145,0.03595338457723779,tt0167260,The Lord of the Rings: The Return of the King,2003,543.0,7.777667777777771e+80,8.9,1603886
159,1115,8695,7483,1212,0.13939045428407132,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,482.0,2.0112267777777704e+123,8.8,1619549
160,1116,5466,5260,206,0.03768752286864252,tt0167261,The Lord of the Rings: The Two Towers,2002,509.0,7.77777777367777e+81,8.7,1449447
161,1118,7656,5936,1720,0.22466039707419017,tt0120738,Lost in Space,1998,128.0,7.77763447777755e+117,5.2,68679
162,1126,8913,8054,859,0.0963760798833165,tt0104797,Malcolm X,1992,101.0,7.765357253301772e+95,7.7,83471
163,1127,11354,9810,1544,0.13598731724502378,tt0328099,Malibu's Most Wanted,2003,49.0,7.66677775456434e+131,5.2,18343
164,1128,7148,5133,2015,0.2818970341354225,tt0328107,Man on Fire,2004,109.0,5.577777755777741e+90,7.7,323767
165,1129,10732,6493,4239,0.39498695490123,tt0104804,Man Trouble,1992,8.0,3.4354443200201507e+103,4.7,2915
166,1132,7917,7473,444,0.05608184918529746,tt0120744,The Man in the Iron Mask,1998,105.0,7.777777777657772e+90,6.5,154065
167,1134,12528,11065,1463,0.11677841634738187,tt0368008,The Manchurian Candidate,2004,92.0,7.777777777777772e+101,6.6,102092
168,1136,9960,8650,1310,0.13152610441767068,tt0091474,Manhunter,1986,20.0,7.776355475777773e+117,7.2,64181
169,1137,2240,1543,697,0.3111607142857143,tt0104815,El mariachi,1992,4.0,7.77777443133344e+35,6.9,62349
170,1140,6210,4627,1583,0.25491143317230275,tt0110475,The Mask,1994,249.0,5.35777434677777e+90,6.9,338827
171,1141,5713,4629,1084,0.18974269210572378,tt0133093,The Matrix,1999,292.0,1.4465433477777602e+98,8.7,1631892
172,1142,12000,9119,2881,0.24008333333333334,tt0325805,Matchstick Men,2003,53.0,7.655777677777772e+142,7.3,122112
173,1143,3051,2533,518,0.16978039986889545,tt0234215,The Matrix Reloaded,2003,405.0,4.44334775667547e+58,7.2,505927
174,1146,3326,3007,319,0.09591100420926037,tt0467197,Max Payne,2008,49.0,7.7175435777745705e+56,5.4,120933
175,1148,6833,6057,776,0.11356651543977755,tt0119654,Men in Black,1997,473.0,7.777777777737771e+103,7.3,506925
176,1152,8696,7915,781,0.08981140754369825,tt0119664,Metro,1997,60.0,7.546577777764462e+115,5.5,25295
