id_county,name_county,age_group,gender,positive_tests
8226,LK Rhein-Neckar-Kreis,A15-A34,Female,178
8226,LK Rhein-Neckar-Kreis,A15-A34,unbekannt,1
8226,LK Rhein-Neckar-Kreis,A35-A59,Male,223
8226,LK Rhein-Neckar-Kreis,A35-A59,Female,261
8226,LK Rhein-Neckar-Kreis,A60-A79,Male,101
8226,LK Rhein-Neckar-Kreis,A60-A79,Female,84
8226,LK Rhein-Neckar-Kreis,A80+,Male,23
8226,LK Rhein-Neckar-Kreis,A80+,Female,43
8226,LK Rhein-Neckar-Kreis,unbekannt,Female,1
8231,SK Pforzheim,A00-A04,Male,5
8231,SK Pforzheim,A00-A04,Female,4
8231,SK Pforzheim,A05-A14,Male,13
8231,SK Pforzheim,A05-A14,Female,9
8231,SK Pforzheim,A05-A14,unbekannt,1
8231,SK Pforzheim,A15-A34,Male,98
8231,SK Pforzheim,A15-A34,Female,70
8231,SK Pforzheim,A15-A34,unbekannt,2
8231,SK Pforzheim,A35-A59,Male,118
8231,SK Pforzheim,A35-A59,Female,116
8231,SK Pforzheim,A35-A59,unbekannt,2
8231,SK Pforzheim,A60-A79,Male,36
8231,SK Pforzheim,A60-A79,Female,43
8231,SK Pforzheim,A60-A79,unbekannt,1
8231,SK Pforzheim,A80+,Male,17
8231,SK Pforzheim,A80+,Female,40
8231,SK Pforzheim,unbekannt,Male,1
8231,SK Pforzheim,unbekannt,Female,3
8231,SK Pforzheim,unbekannt,unbekannt,9
8235,LK Calw,A00-A04,Male,1
8235,LK Calw,A00-A04,Female,7
8235,LK Calw,A05-A14,Male,11
8235,LK Calw,A05-A14,Female,14
8235,LK Calw,A15-A34,Male,68
8235,LK Calw,A15-A34,Female,66
8235,LK Calw,A35-A59,Male,69
8235,LK Calw,A35-A59,Female,79
8235,LK Calw,A60-A79,Male,24
8235,LK Calw,A60-A79,Female,26
8235,LK Calw,A80+,Male,19
8235,LK Calw,A80+,Female,20
8235,LK Calw,unbekannt,Female,1
8235,LK Calw,unbekannt,unbekannt,3
8236,LK Enzkreis,A00-A04,Male,3
8236,LK Enzkreis,A00-A04,Female,4
8236,LK Enzkreis,A05-A14,Male,14
8236,LK Enzkreis,A05-A14,Female,12
8236,LK Enzkreis,A15-A34,Male,97
8236,LK Enzkreis,A15-A34,Female,97
8236,LK Enzkreis,A35-A59,Male,112
8236,LK Enzkreis,A35-A59,Female,132
8236,LK Enzkreis,A35-A59,unbekannt,1
8236,LK Enzkreis,A60-A79,Male,58
8236,LK Enzkreis,A60-A79,Female,56
8236,LK Enzkreis,A80+,Male,20
8236,LK Enzkreis,A80+,Female,7
8236,LK Enzkreis,unbekannt,Male,6
8236,LK Enzkreis,unbekannt,Female,2
8236,LK Enzkreis,unbekannt,unbekannt,3
8237,LK Freudenstadt,A00-A04,Male,1
8237,LK Freudenstadt,A00-A04,Female,2
8237,LK Freudenstadt,A05-A14,Male,12
8237,LK Freudenstadt,A05-A14,Female,2
8237,LK Freudenstadt,A15-A34,Male,36
8237,LK Freudenstadt,A15-A34,Female,43
8237,LK Freudenstadt,A35-A59,Male,40
8237,LK Freudenstadt,A35-A59,Female,61
8237,LK Freudenstadt,A60-A79,Male,23
8237,LK Freudenstadt,A60-A79,Female,14
8237,LK Freudenstadt,A80+,Male,5
8237,LK Freudenstadt,A80+,Female,10
8311,SK Freiburg i.Breisgau,A00-A04,Male,5
8311,SK Freiburg i.Breisgau,A00-A04,Female,3
8311,SK Freiburg i.Breisgau,A05-A14,Male,8
8311,SK Freiburg i.Breisgau,A05-A14,Female,8
8311,SK Freiburg i.Breisgau,A15-A34,Male,83
8311,SK Freiburg i.Breisgau,A15-A34,Female,77
8311,SK Freiburg i.Breisgau,A15-A34,unbekannt,1
8311,SK Freiburg i.Breisgau,A35-A59,Male,65
8311,SK Freiburg i.Breisgau,A35-A59,Female,51
8311,SK Freiburg i.Breisgau,A35-A59,unbekannt,1
8311,SK Freiburg i.Breisgau,A60-A79,Male,22
8311,SK Freiburg i.Breisgau,A60-A79,Female,20
8311,SK Freiburg i.Breisgau,A80+,Male,1
8311,SK Freiburg i.Breisgau,A80+,Female,3
8315,LK Breisgau-Hochschwarzwald,A00-A04,Male,7
8315,LK Breisgau-Hochschwarzwald,A00-A04,Female,5
8315,LK Breisgau-Hochschwarzwald,A05-A14,Male,11
8315,LK Breisgau-Hochschwarzwald,A05-A14,Female,10
8315,LK Breisgau-Hochschwarzwald,A15-A34,Male,90
8315,LK Breisgau-Hochschwarzwald,A15-A34,Female,67
8315,LK Breisgau-Hochschwarzwald,A35-A59,Male,102
8315,LK Breisgau-Hochschwarzwald,A35-A59,Female,88
8315,LK Breisgau-Hochschwarzwald,A35-A59,unbekannt,1
8315,LK Breisgau-Hochschwarzwald,A60-A79,Male,25
8315,LK Breisgau-Hochschwarzwald,A60-A79,Female,28
8315,LK Breisgau-Hochschwarzwald,A80+,Male,8
8315,LK Breisgau-Hochschwarzwald,A80+,Female,14
8316,LK Emmendingen,A00-A04,Male,7
8316,LK Emmendingen,A00-A04,Female,3
8316,LK Emmendingen,A05-A14,Male,16
8316,LK Emmendingen,A05-A14,Female,15
8316,LK Emmendingen,A15-A34,Male,56
8316,LK Emmendingen,A15-A34,Female,63
8316,LK Emmendingen,A35-A59,Male,64
8316,LK Emmendingen,A35-A59,Female,81
8316,LK Emmendingen,A35-A59,unbekannt,1
8316,LK Emmendingen,A60-A79,Male,35
8316,LK Emmendingen,A60-A79,Female,29
8316,LK Emmendingen,A80+,Male,16
8316,LK Emmendingen,A80+,Female,24
8316,LK Emmendingen,unbekannt,Male,1
8316,LK Emmendingen,unbekannt,Female,1
8317,LK Ortenaukreis,A00-A04,Male,12
8317,LK Ortenaukreis,A00-A04,Female,8
8317,LK Ortenaukreis,A00-A04,unbekannt,1
8317,LK Ortenaukreis,A05-A14,Male,25
8317,LK Ortenaukreis,A05-A14,Female,22
8317,LK Ortenaukreis,A15-A34,Male,197
