id_county,age_group,gender,population,total_population_county
8337,A35-A59,Male,29661,163136
8337,A60-A79,Female,17329,163136
8337,A60-A79,Male,15892,163136
8337,A80+,Female,5795,163136
8337,A80+,Male,2998,163136
8415,A00-A04,Female,5800,273353
8415,A00-A04,Male,5912,273353
8415,A05-A14,Female,13655,273353
8415,A05-A14,Male,14585,273353
8415,A15-A34,Female,31272,273353
8415,A15-A34,Male,31897,273353
8415,A35-A59,Female,50712,273353
8415,A35-A59,Male,50380,273353
8415,A60-A79,Female,29308,273353
8415,A60-A79,Male,25953,273353
8415,A80+,Female,9220,273353
8415,A80+,Male,4659,273353
8416,A00-A04,Female,4675,211952
8416,A00-A04,Male,4719,211952
8416,A05-A14,Female,10440,211952
8416,A05-A14,Male,11133,211952
8416,A15-A34,Female,31633,211952
8416,A15-A34,Male,29851,211952
8416,A35-A59,Female,38191,211952
8416,A35-A59,Male,37431,211952
8416,A60-A79,Female,18483,211952
8416,A60-A79,Male,16792,211952
8416,A80+,Female,5851,211952
8416,A80+,Male,2753,211952
8417,A00-A04,Female,3659,185559
8417,A00-A04,Male,3747,185559
8417,A05-A14,Female,8900,185559
8417,A05-A14,Male,9425,185559
8417,A15-A34,Female,20200,185559
8417,A15-A34,Male,21433,185559
8417,A35-A59,Female,34295,185559
8417,A35-A59,Male,34528,185559
8417,A60-A79,Female,20706,185559
8417,A60-A79,Male,18414,185559
8417,A80+,Female,6881,185559
8417,A80+,Male,3371,185559
8421,A00-A04,Female,2444,116761
8421,A00-A04,Male,2845,116761
8421,A05-A14,Female,5164,116761
8421,A05-A14,Male,5313,116761
8421,A15-A34,Female,16656,116761
8421,A15-A34,Male,16622,116761
8421,A35-A59,Female,19905,116761
8421,A35-A59,Male,19863,116761
8421,A60-A79,Female,11628,116761
8421,A60-A79,Male,10380,116761
8421,A80+,Female,4016,116761
8421,A80+,Male,1925,116761
8425,A00-A04,Female,4005,186192
8425,A00-A04,Male,4413,186192
8425,A05-A14,Female,10300,186192
8425,A05-A14,Male,10826,186192
8425,A15-A34,Female,21166,186192
8425,A15-A34,Male,22452,186192
8425,A35-A59,Female,34163,186192
8425,A35-A59,Male,35080,186192
8425,A60-A79,Female,18135,186192
8425,A60-A79,Male,16765,186192
8425,A80+,Female,5811,186192
8425,A80+,Male,3076,186192
8426,A00-A04,Female,4252,187444
8426,A00-A04,Male,4543,187444
8426,A05-A14,Female,10433,187444
8426,A05-A14,Male,10677,187444
8426,A15-A34,Female,21832,187444
8426,A15-A34,Male,23202,187444
8426,A35-A59,Female,34460,187444
8426,A35-A59,Male,35120,187444
8426,A60-A79,Female,17611,187444
8426,A60-A79,Male,16616,187444
8426,A80+,Female,5786,187444
8426,A80+,Male,2912,187444
8435,A00-A04,Female,4168,204083
8435,A00-A04,Male,4321,204083
8435,A05-A14,Female,9957,204083
8435,A05-A14,Male,10501,204083
8435,A15-A34,Female,22599,204083
8435,A15-A34,Male,23107,204083
8435,A35-A59,Female,37592,204083
8435,A35-A59,Male,36848,204083
8435,A60-A79,Female,23257,204083
8435,A60-A79,Male,21365,204083
8435,A80+,Female,6799,204083
8435,A80+,Male,3569,204083
8436,A00-A04,Female,5981,269595
8436,A00-A04,Male,6134,269595
8436,A05-A14,Female,14511,269595
8436,A05-A14,Male,15169,269595
8436,A15-A34,Female,31456,269595
8436,A15-A34,Male,32675,269595
8436,A35-A59,Female,49460,269595
8436,A35-A59,Male,49152,269595
8436,A60-A79,Female,27017,269595
8436,A60-A79,Male,24838,269595
8436,A80+,Female,8867,269595
8436,A80+,Male,4335,269595
8437,A00-A04,Female,2636,127600
8437,A00-A04,Male,2783,127600
8437,A05-A14,Female,6893,127600
8437,A05-A14,Male,7238,127600
8437,A15-A34,Female,14483,127600
8437,A15-A34,Male,15547,127600
8437,A35-A59,Female,23354,127600
8437,A35-A59,Male,23706,127600
8437,A60-A79,Female,12972,127600
8437,A60-A79,Male,11682,127600
8437,A80+,Female,4182,127600
8437,A80+,Male,2124,127600
